,adfStat,pVal,lags,nObs,95% conf,corr
0.0,-3.0397638194621885,0.0313441532210644,1.0,2525.0,-2.862685339846278,1.0
0.1,-3.6541875850350185,0.004805689282231175,1.0,2520.0,-2.8626876136761292,0.9988566575067505
0.2,-4.759688175629446,6.491192975756555e-05,1.0,2517.0,-2.8626889823128554,0.9909775059796517
0.30000000000000004,-6.469982159734272,1.3748311143331358e-08,1.0,2516.0,-2.862689439250822,0.9687206986175352
0.4,-8.688533570944566,4.10018785290913e-14,1.0,2517.0,-2.8626889823128554,0.9281554008243009
0.5,-11.695196359568,1.6170510379147708e-21,1.0,2518.0,-2.8626885257380397,0.8566326356304838
0.6000000000000001,-15.639014764313739,1.6491923400040177e-28,1.0,2519.0,-2.8626880695259413,0.7449969311351853
0.7000000000000001,-19.558364146348175,0.0,1.0,2521.0,-2.8626871581881708,0.6341416164957077
0.8,-25.071630426681324,0.0,1.0,2521.0,-2.8626871581881708,0.4665170559818348
0.9,-29.84443155115232,0.0,1.0,2522.0,-2.8626867030616365,0.3374282377474938
1.0,-34.97830069008197,0.0,1.0,2524.0,-2.862685793891119,0.06811277496552524
